channel,region,customer_segment,campaign_type,ad_spend,impressions,clicks,click_through_rate,average_order_value,discount_percent,prior_purchases,website_visits_30d,email_open_rate,days_since_last_purchase,conversion
Instagram,Central,New,Retargeting,748.16,10055,1425,0.1417,101.76,20,1,6,0.3033,48,1
Google Ads,West,Returning,Awareness,497.6,12439,556,0.0447,47.93,20,1,5,0.2342,9,0
Google Ads,North,New,Awareness,411.06,20959,1582,0.0755,47.98,5,0,8,0.2836,82,0
Email,West,Dormant,Seasonal,445.11,10098,1280,0.1267,50.59,10,3,10,0.078,175,1
Instagram,East,Returning,Retargeting,264.03,9003,973,0.108,59.91,30,1,8,0.1508,9,0
Google Ads,North,Dormant,Awareness,434.71,9521,715,0.0751,51.43,15,2,5,0.189,27,0
Email,East,Returning,Conversion,348.02,19465,2910,0.1495,55.34,20,2,6,0.5197,9,0
Organic,North,New,Seasonal,475.35,800,105,0.1313,10.0,30,2,6,0.2055,103,0
Email,South,High Value,Retargeting,235.47,7488,1393,0.186,59.14,5,1,7,0.1783,8,0
SMS,Central,Returning,Retargeting,458.22,24291,1528,0.0629,58.36,10,3,6,0.2348,9,1
Email,West,High Value,Conversion,281.56,14659,752,0.0513,78.77,15,2,6,0.2591,105,0
Organic,North,Returning,Conversion,459.16,7023,870,0.1239,84.18,0,0,5,0.3433,21,1
Organic,Central,Returning,Awareness,371.51,11811,777,0.0657,54.25,15,1,5,0.1834,119,1
SMS,East,Dormant,Retargeting,336.46,12304,178,0.0145,74.32,20,0,3,0.2263,3,1
Organic,Central,Returning,Awareness,288.73,15808,2097,0.1327,35.97,15,0,6,0.0936,61,0
Organic,West,New,Awareness,321.45,20278,4838,0.2386,73.35,5,3,10,0.2628,55,1
Referral,South,High Value,Retargeting,270.17,13748,895,0.0651,46.55,20,1,4,0.2614,12,1
Organic,East,High Value,Seasonal,285.94,9571,922,0.0963,34.31,0,2,2,0.1513,3,0
Email,East,Dormant,Retargeting,406.16,15542,1105,0.0711,54.29,25,1,7,0.2128,1,1
Google Ads,West,Returning,Conversion,137.15,8858,1920,0.2167,86.01,0,1,6,0.4484,81,0
Google Ads,South,Returning,Conversion,456.37,7350,154,0.0209,61.62,25,4,5,0.133,115,0
Organic,South,High Value,Conversion,459.79,4080,815,0.1999,87.93,10,2,6,0.3327,37,1
Google Ads,South,Returning,Conversion,292.77,4957,847,0.1709,43.03,10,0,4,0.282,19,1
Instagram,South,High Value,Conversion,354.26,7966,833,0.1046,78.96,10,1,8,0.5085,3,1
Google Ads,North,Returning,Conversion,206.69,6700,539,0.0805,44.96,5,4,4,0.2615,30,0
Instagram,North,New,Conversion,394.44,13410,2511,0.1872,62.51,10,1,5,0.0894,134,0
Email,Central,High Value,Seasonal,219.35,6603,1119,0.1695,62.33,25,0,8,0.4201,89,1
Google Ads,North,New,Seasonal,64.66,800,84,0.1054,71.23,20,0,6,0.3098,36,0
Google Ads,Central,New,Awareness,556.61,7302,224,0.0307,63.01,0,1,5,0.38,5,0
Instagram,North,Returning,Conversion,195.47,9877,2605,0.2637,43.22,15,1,3,0.1969,42,1
Instagram,West,High Value,Awareness,318.28,9275,843,0.0909,75.61,25,0,4,0.154,5,1
Instagram,South,Dormant,Conversion,360.35,18838,2112,0.1121,92.63,20,1,9,0.5545,97,0
Instagram,East,New,Conversion,405.75,9239,220,0.0238,46.32,10,4,8,0.2384,80,1
Instagram,South,New,Awareness,331.23,15964,378,0.0237,21.3,0,4,7,0.7034,79,0
Referral,East,Dormant,Retargeting,374.68,11915,350,0.0294,67.99,25,1,3,0.1989,1,1
Instagram,East,New,Conversion,289.58,11810,1264,0.1071,51.38,10,3,11,0.3287,10,0
SMS,East,New,Seasonal,150.34,8241,1474,0.1789,55.38,10,1,8,0.278,80,0
Organic,South,New,Awareness,325.42,11735,291,0.0248,69.12,20,3,3,0.245,34,0
Google Ads,East,Returning,Awareness,430.62,8557,796,0.093,48.87,5,1,8,0.1493,44,1
Instagram,Central,Dormant,Conversion,201.39,12765,2521,0.1975,52.62,20,2,7,0.1401,18,0
Google Ads,East,High Value,Awareness,362.02,10937,190,0.0174,56.0,0,0,1,0.3557,66,0
Organic,South,High Value,Conversion,700.99,7749,1934,0.2496,87.4,20,2,4,0.4572,37,1
Referral,North,New,Seasonal,315.68,16464,82,0.005,58.6,30,4,6,0.2531,49,1
Organic,South,Returning,Awareness,323.14,13921,1819,0.1306,33.29,30,5,8,0.2947,24,0
Google Ads,North,Returning,Awareness,143.93,9984,498,0.0499,34.08,25,2,8,0.4175,14,1
Google Ads,North,New,Conversion,189.72,12655,1245,0.0984,60.78,25,5,8,0.1484,1,1
Instagram,Central,New,Conversion,220.51,11623,1560,0.1342,35.41,5,1,8,0.5726,3,0
Referral,North,New,Conversion,423.14,8096,1522,0.188,26.75,30,0,9,0.493,8,1
Instagram,East,New,Conversion,208.16,12317,2990,0.2428,70.71,25,3,5,0.4612,2,1
Referral,Central,Returning,Retargeting,118.54,9205,1502,0.1632,71.69,15,3,3,0.0916,69,1
Organic,Central,High Value,Awareness,390.79,7748,710,0.0916,50.64,10,3,4,0.2411,58,0
Email,North,New,Conversion,230.27,4698,262,0.0558,63.87,0,1,10,0.2199,15,0
Google Ads,North,Returning,Retargeting,146.89,10386,806,0.0776,61.76,15,1,5,0.0517,39,1
Email,South,High Value,Seasonal,446.16,14551,1264,0.0868,70.05,20,2,4,0.0721,35,1
Referral,East,High Value,Conversion,274.3,8874,1252,0.1411,70.09,10,1,3,0.1259,98,0
Email,Central,High Value,Conversion,407.11,23343,467,0.02,10.0,10,0,4,0.2025,5,1
SMS,South,Returning,Awareness,144.25,15986,1082,0.0677,53.19,15,1,5,0.1963,139,0
Email,North,High Value,Awareness,94.46,17869,1166,0.0652,68.36,0,0,9,0.4798,1,1
SMS,South,New,Awareness,346.63,15579,1685,0.1082,49.79,30,2,3,0.0344,59,0
Organic,Central,Returning,Retargeting,186.36,20338,4308,0.2118,58.72,5,2,3,0.4322,5,1
Google Ads,North,New,Conversion,344.39,8458,880,0.1041,73.01,0,0,6,0.0978,67,0
Organic,South,Returning,Retargeting,347.76,800,79,0.0981,59.62,0,2,11,0.1671,10,0
Organic,North,Returning,Awareness,327.88,9992,3262,0.3265,88.16,25,4,7,0.3676,17,0
SMS,North,New,Seasonal,515.49,14512,1071,0.0738,80.54,25,3,6,0.1449,107,1
Instagram,Central,High Value,Retargeting,963.84,12682,684,0.054,55.63,0,2,10,0.1165,60,1
Google Ads,North,New,Awareness,387.7,13240,271,0.0205,54.04,0,4,8,0.1458,45,0
Email,South,New,Awareness,700.68,17944,1787,0.0996,10.0,10,3,5,0.2022,53,0
Google Ads,Central,New,Awareness,139.1,13719,2304,0.168,51.47,5,0,6,0.3232,29,1
Email,West,Returning,Seasonal,277.78,15595,1979,0.1269,30.93,20,4,8,0.4016,11,0
Google Ads,North,New,Awareness,168.89,7772,476,0.0612,62.42,0,0,9,0.1337,124,0
Google Ads,East,Returning,Conversion,237.74,7071,260,0.0368,61.06,15,1,4,0.4006,104,0
Google Ads,Central,New,Conversion,285.56,19264,2240,0.1163,71.92,10,3,3,0.2847,82,1
Google Ads,East,High Value,Retargeting,727.45,12454,1952,0.1568,85.93,10,2,4,0.0749,28,1
Organic,East,Dormant,Conversion,336.44,9195,1669,0.1815,57.47,10,3,6,0.2371,51,1
Organic,East,Returning,Conversion,524.08,9204,934,0.1014,103.61,0,3,6,0.3797,6,0
Google Ads,West,Returning,Seasonal,267.01,9079,465,0.0513,62.65,5,1,5,0.3214,19,1
Google Ads,North,Dormant,Awareness,251.84,8810,611,0.0693,31.8,0,3,1,0.409,14,0
SMS,Central,Dormant,Retargeting,141.15,6226,614,0.0985,46.76,0,1,6,0.2743,44,0
Email,Central,Returning,Awareness,716.83,5248,1034,0.1971,50.55,30,0,4,0.4839,3,1
Email,North,Dormant,Conversion,601.32,11122,458,0.0412,69.84,5,2,2,0.1708,22,0
Email,Central,Dormant,Seasonal,363.72,9332,566,0.0607,39.06,5,1,6,0.2953,16,0
Referral,Central,High Value,Retargeting,293.42,16982,645,0.038,52.04,0,0,13,0.3458,11,1
Google Ads,West,Returning,Retargeting,342.31,13319,1457,0.1094,54.78,20,1,6,0.4948,47,1
Organic,South,New,Conversion,165.43,13194,2353,0.1784,49.04,25,0,3,0.1684,16,1
Referral,East,New,Conversion,406.76,8656,894,0.1033,74.23,20,1,7,0.1177,80,0
Instagram,Central,Returning,Conversion,579.04,11455,738,0.0645,70.83,15,0,6,0.3137,7,0
Organic,North,Returning,Conversion,592.12,13625,486,0.0357,81.33,20,1,6,0.1011,2,1
Organic,Central,Returning,Conversion,144.28,15223,1851,0.1216,51.38,10,2,4,0.0557,15,0
Instagram,Central,Returning,Conversion,521.91,11577,877,0.0758,82.05,25,1,9,0.1773,5,1
Instagram,West,Returning,Conversion,166.0,16856,1093,0.0649,30.72,20,1,4,0.3571,9,0
Instagram,South,High Value,Conversion,98.33,12036,965,0.0802,30.23,0,3,2,0.0933,117,0
Email,East,New,Conversion,530.73,15568,1007,0.0647,33.72,10,0,2,0.2012,7,1
Email,North,New,Awareness,256.88,9796,494,0.0505,58.18,5,1,6,0.1846,4,1
SMS,Central,High Value,Seasonal,497.35,3843,232,0.0603,82.05,0,3,2,0.6855,22,1
Google Ads,South,High Value,Retargeting,477.52,13208,898,0.068,45.96,25,1,3,0.0768,10,0
Instagram,North,Dormant,Awareness,450.5,15264,993,0.065,48.47,0,4,5,0.5983,112,0
Referral,West,Dormant,Retargeting,340.39,14589,2197,0.1506,53.68,20,1,4,0.2106,106,0
Google Ads,West,Dormant,Retargeting,175.49,13900,1032,0.0742,69.46,30,2,11,0.1712,106,0
SMS,West,New,Awareness,285.85,10431,392,0.0376,48.45,10,1,5,0.2582,77,0
Organic,North,Returning,Awareness,596.57,8370,385,0.046,47.33,10,1,4,0.5445,17,0
Google Ads,West,New,Awareness,503.12,14483,828,0.0572,31.09,15,2,4,0.2378,19,0
Instagram,West,Returning,Awareness,292.9,13919,4872,0.35,46.57,20,3,7,0.4185,45,1
SMS,West,Dormant,Retargeting,291.21,9476,583,0.0615,81.55,5,2,3,0.0705,8,0
Referral,Central,New,Seasonal,432.56,16992,1563,0.092,59.82,5,1,9,0.0601,17,1
SMS,South,Returning,Awareness,351.71,8027,192,0.0239,43.2,15,1,2,0.4046,10,0
Email,South,New,Retargeting,300.02,9374,726,0.0775,82.72,25,2,8,0.1741,39,0
Organic,Central,New,Awareness,416.36,19364,3528,0.1822,46.3,5,0,3,0.2402,58,1
Google Ads,East,New,Conversion,410.14,15909,1060,0.0666,86.4,10,1,6,0.5819,16,0
Email,East,New,Retargeting,240.9,10389,2303,0.2217,86.07,30,3,5,0.2058,2,1
Google Ads,South,Dormant,Conversion,383.64,13293,521,0.0392,59.12,0,0,4,0.3889,20,0
Referral,West,Returning,Awareness,398.94,12697,1067,0.084,28.03,0,2,8,0.1749,21,1
Email,West,High Value,Conversion,328.57,800,58,0.0723,103.79,15,0,4,0.269,242,0
Google Ads,North,High Value,Seasonal,228.56,7921,382,0.0482,65.75,0,0,6,0.0717,22,0
Organic,East,New,Conversion,281.69,11771,1425,0.1211,51.52,5,1,4,0.4414,8,0
Instagram,Central,New,Awareness,206.31,10395,1388,0.1336,77.12,15,1,1,0.4329,13,1
Google Ads,South,High Value,Awareness,388.37,13112,1439,0.1098,72.05,15,6,4,0.445,54,1
Google Ads,South,New,Conversion,144.72,17083,4075,0.2385,84.22,15,1,7,0.0764,44,0
Instagram,Central,Dormant,Conversion,624.18,10553,1070,0.1014,44.75,10,1,7,0.3706,73,1
Organic,North,New,Retargeting,566.85,7241,1490,0.2058,64.37,15,0,6,0.4051,21,0
Organic,South,High Value,Retargeting,403.24,13462,898,0.0667,34.28,15,1,6,0.1252,76,0
Email,East,High Value,Seasonal,489.93,10530,2794,0.2654,71.33,20,0,8,0.3279,28,1
SMS,West,New,Retargeting,475.33,11298,412,0.0364,57.54,20,0,3,0.3274,90,0
Organic,North,New,Awareness,354.18,10687,1500,0.1404,63.62,15,1,7,0.0263,114,0
Instagram,East,Dormant,Conversion,303.92,22088,1804,0.0817,55.07,25,0,3,0.1681,199,1
Organic,North,New,Conversion,288.02,1917,102,0.053,52.98,20,0,10,0.2372,12,0
Email,West,Returning,Conversion,634.55,10252,493,0.048,40.64,0,1,3,0.1215,4,1
SMS,West,Returning,Seasonal,224.59,11983,2031,0.1695,73.81,30,0,1,0.0602,7,0
Referral,East,New,Retargeting,226.74,8485,429,0.0505,87.79,25,2,5,0.2778,233,1
Referral,South,High Value,Seasonal,509.26,16049,3458,0.2155,46.87,10,1,8,0.0779,18,1
Email,North,High Value,Conversion,487.82,15660,1978,0.1263,69.07,0,1,6,0.1849,5,1
Organic,Central,Returning,Conversion,295.71,11785,843,0.0716,66.64,15,3,4,0.5808,18,1
Email,West,High Value,Conversion,422.67,10782,2467,0.2288,58.16,10,3,4,0.061,25,1
Instagram,South,New,Awareness,447.66,11496,1281,0.1114,27.47,20,4,10,0.3306,284,0
Email,East,New,Awareness,171.16,11528,269,0.0233,31.97,15,3,3,0.1741,29,0
Organic,West,Returning,Conversion,583.22,11647,1372,0.1178,42.38,0,0,12,0.1555,26,0
Instagram,West,Dormant,Awareness,447.59,11154,1199,0.1075,15.22,5,0,4,0.3056,40,0
Organic,East,New,Seasonal,406.61,13136,917,0.0698,86.16,25,2,5,0.1625,10,0
Referral,South,New,Awareness,449.15,15389,1768,0.1149,65.35,0,2,8,0.2564,18,1
Email,West,Returning,Awareness,384.73,6464,910,0.1409,57.4,20,0,3,0.4526,127,0
Email,West,High Value,Retargeting,319.91,7272,681,0.0937,14.2,5,1,9,0.5476,52,0
Email,East,New,Awareness,115.51,4132,259,0.0628,21.52,10,0,7,0.3201,20,0
Google Ads,North,Returning,Seasonal,355.62,15899,865,0.0544,57.95,15,3,2,0.3068,63,1
Organic,East,High Value,Retargeting,163.28,13126,2314,0.1763,97.41,5,0,7,0.2113,5,1
Instagram,West,Returning,Awareness,746.25,14274,1085,0.076,44.03,15,0,2,0.1761,76,1
Organic,Central,New,Retargeting,317.43,5567,836,0.1502,75.28,20,0,4,0.1545,43,0
Email,East,New,Retargeting,740.44,20032,1800,0.0898,48.4,0,0,6,0.1183,118,0
Organic,South,Returning,Retargeting,358.37,9260,1921,0.2075,59.1,10,1,12,0.2131,2,1
SMS,East,Returning,Retargeting,250.74,12757,1036,0.0812,82.29,20,1,6,0.1011,27,1
Organic,North,Dormant,Retargeting,575.7,15845,3166,0.1998,51.08,20,0,4,0.2399,28,1
Referral,North,Returning,Conversion,399.23,7559,782,0.1035,44.2,15,0,1,0.2528,190,0
Organic,West,High Value,Conversion,867.19,9542,258,0.027,86.36,20,3,5,0.1285,114,0
Email,Central,Dormant,Retargeting,247.69,12806,883,0.069,58.91,0,2,3,0.1806,55,1
Instagram,Central,Returning,Seasonal,586.52,24859,2216,0.0891,79.82,0,0,3,0.1532,28,0
Email,East,Returning,Conversion,600.5,13355,1519,0.1137,44.3,15,0,6,0.2886,26,0
Google Ads,North,Dormant,Retargeting,464.35,19229,3601,0.1872,86.13,20,0,5,0.3695,46,0
Organic,Central,New,Conversion,602.75,17426,2880,0.1653,63.47,20,2,8,0.1768,15,1
Google Ads,East,High Value,Retargeting,320.82,13656,1484,0.1086,66.7,5,2,9,0.2215,34,1
Organic,South,High Value,Seasonal,224.05,7549,533,0.0707,60.63,15,0,6,0.2913,58,0
Email,Central,New,Awareness,261.48,16769,572,0.0341,47.89,15,1,5,0.076,37,1
Referral,West,Returning,Awareness,347.16,5259,316,0.06,57.97,5,1,3,0.3321,37,1
Instagram,West,New,Conversion,475.08,19204,1046,0.0545,49.15,15,3,6,0.1116,21,0
Instagram,South,New,Conversion,231.67,12900,703,0.0545,77.19,15,1,3,0.0712,15,0
Referral,Central,Returning,Conversion,288.14,800,54,0.0671,53.94,5,3,6,0.2225,15,0
SMS,East,New,Awareness,240.66,10468,441,0.0421,28.07,10,2,10,0.4305,57,0
Google Ads,East,High Value,Conversion,512.98,14943,1818,0.1216,24.41,5,1,4,0.2194,45,1
Email,West,Dormant,Conversion,737.78,10933,261,0.0239,23.47,25,3,4,0.1879,12,0
Google Ads,West,High Value,Conversion,205.69,15218,857,0.0563,70.36,5,0,1,0.4326,49,1
Email,North,New,Retargeting,431.64,8175,686,0.0839,34.97,0,1,3,0.1635,39,0
Organic,South,New,Retargeting,541.81,6123,227,0.037,64.0,0,1,5,0.1565,1,0
Referral,South,New,Retargeting,307.8,11678,332,0.0285,60.73,0,1,4,0.1112,17,1
Email,Central,New,Retargeting,167.78,12142,2885,0.2376,56.71,5,0,6,0.3215,26,1
Email,West,Dormant,Retargeting,573.29,10432,1052,0.1009,66.77,15,1,7,0.4459,20,0
Instagram,South,Returning,Conversion,162.47,17523,1082,0.0617,61.17,0,0,3,0.5756,143,0
SMS,West,New,Retargeting,648.61,8174,1631,0.1995,10.0,5,1,1,0.2463,19,0
Google Ads,West,High Value,Awareness,238.22,13409,2611,0.1947,51.53,0,1,3,0.1225,40,1
Organic,South,Returning,Conversion,150.33,12306,1101,0.0895,66.5,10,2,7,0.2725,55,1
Google Ads,East,New,Conversion,270.76,4995,495,0.0991,90.81,0,0,4,0.1525,95,0
Google Ads,Central,New,Seasonal,334.54,6064,367,0.0606,91.73,15,0,2,0.469,28,0
Email,East,Returning,Retargeting,367.04,12054,1618,0.1342,30.74,15,2,1,0.1977,2,0
SMS,North,High Value,Awareness,447.92,20915,2951,0.1411,51.01,20,0,9,0.2229,28,1
Instagram,West,New,Conversion,382.16,14607,1333,0.0913,26.68,5,1,2,0.3702,81,0
Google Ads,East,Dormant,Awareness,710.35,4235,1022,0.2413,88.4,25,1,3,0.2329,3,0
Referral,East,Dormant,Retargeting,327.32,800,42,0.0524,78.26,20,0,8,0.4523,64,1
Referral,West,High Value,Retargeting,391.38,15299,1011,0.0661,65.01,0,1,3,0.2319,31,1
SMS,Central,New,Conversion,376.61,11567,786,0.0679,61.32,10,0,4,0.4492,39,1
Email,South,New,Conversion,141.09,17136,1298,0.0757,85.61,20,1,4,0.3011,4,0
Google Ads,East,Dormant,Conversion,186.9,8037,261,0.0325,82.23,10,0,6,0.3409,15,0
Google Ads,North,New,Conversion,347.8,13576,1073,0.0791,81.16,10,2,6,0.5947,10,1
Google Ads,West,Returning,Seasonal,412.96,15808,1672,0.1058,67.13,15,1,3,0.0818,11,0
Email,East,High Value,Retargeting,112.91,9986,695,0.0696,51.02,0,3,5,0.1382,87,1
Email,South,New,Conversion,725.2,10083,2470,0.245,73.34,30,2,3,0.2071,20,1
Instagram,West,High Value,Conversion,428.02,12114,1429,0.118,74.32,0,2,3,0.3088,69,0
Instagram,East,Dormant,Awareness,338.86,14442,273,0.0189,54.19,0,4,6,0.3101,136,0
Google Ads,East,High Value,Awareness,419.15,11935,1164,0.0975,50.98,0,5,8,0.0603,17,0
Google Ads,East,Returning,Awareness,263.46,16383,4034,0.2462,80.67,10,1,4,0.1444,30,1
Google Ads,South,Dormant,Conversion,368.85,9921,428,0.0432,91.28,25,0,3,0.2866,119,0
Google Ads,North,Returning,Seasonal,395.67,6022,153,0.0254,43.01,20,1,9,0.6323,92,0
Google Ads,Central,High Value,Conversion,576.33,20896,5298,0.2536,52.73,25,1,5,0.1859,25,1
Instagram,North,High Value,Awareness,313.89,9279,1119,0.1206,65.02,15,0,10,0.1624,34,0
Google Ads,South,High Value,Awareness,164.74,9442,1573,0.1666,67.73,10,0,5,0.5465,92,0
Instagram,West,New,Conversion,221.2,11704,244,0.0208,47.55,10,1,4,0.3907,53,0
Email,North,New,Retargeting,302.25,12302,1391,0.1131,95.67,0,1,6,0.1869,4,0
Google Ads,West,New,Conversion,174.06,10260,749,0.073,66.44,25,1,6,0.1587,178,0
Google Ads,West,Returning,Retargeting,209.55,11922,1209,0.1014,68.63,10,2,5,0.4206,23,0
Instagram,West,Returning,Retargeting,222.2,11821,1963,0.166,93.18,10,1,9,0.3036,11,1
Google Ads,South,Returning,Awareness,292.81,12787,899,0.0703,49.02,15,0,2,0.0972,80,1
Google Ads,North,Returning,Retargeting,425.51,1391,202,0.1454,56.23,20,4,4,0.396,49,1
Referral,Central,High Value,Seasonal,286.37,20464,2122,0.1037,32.93,5,1,5,0.6084,53,1
Referral,South,Dormant,Conversion,438.49,11337,1543,0.1361,54.55,20,0,12,0.0198,48,1
Referral,Central,New,Awareness,339.01,14613,721,0.0493,28.22,20,0,7,0.1392,6,1
Instagram,North,High Value,Seasonal,213.04,5799,496,0.0855,72.96,25,1,2,0.422,11,1
Organic,North,High Value,Seasonal,398.67,9880,248,0.0251,66.4,0,0,8,0.254,103,0
Google Ads,West,Returning,Conversion,371.0,8975,726,0.0809,52.46,0,1,6,0.1619,156,0
Google Ads,Central,New,Conversion,443.7,18614,2050,0.1101,55.99,10,1,5,0.4226,5,1
Google Ads,Central,High Value,Awareness,484.74,9364,1034,0.1104,73.23,25,3,9,0.1888,54,1
Instagram,West,Dormant,Retargeting,584.49,15411,824,0.0534,35.28,30,2,3,0.2457,39,1
Google Ads,South,High Value,Conversion,431.93,9073,896,0.0988,62.08,15,1,6,0.3702,4,0
Referral,Central,Dormant,Awareness,365.46,9963,1546,0.1552,71.99,5,0,2,0.1437,54,0
Organic,West,Dormant,Retargeting,444.61,10895,683,0.0627,22.35,5,1,5,0.224,38,0
SMS,North,Returning,Seasonal,273.21,17777,753,0.0423,71.7,15,2,5,0.1253,20,0
Google Ads,North,Returning,Retargeting,263.73,3496,203,0.0581,24.52,5,0,5,0.1219,71,0
Google Ads,Central,Returning,Conversion,620.29,6080,794,0.1306,55.65,15,3,3,0.2636,127,0
Organic,South,Dormant,Awareness,260.09,3237,200,0.0618,34.73,20,2,4,0.3394,95,0
Instagram,West,New,Seasonal,224.97,7106,784,0.1104,86.62,10,3,6,0.5183,186,1
Organic,North,Returning,Seasonal,431.82,8348,729,0.0874,34.86,10,1,7,0.2408,13,0
Google Ads,South,Dormant,Conversion,274.3,4735,698,0.1474,25.0,0,1,2,0.1388,47,1
Email,South,New,Retargeting,482.54,8696,892,0.1026,60.67,5,0,4,0.33,30,1
Email,South,High Value,Conversion,565.18,2934,428,0.1458,49.73,20,2,5,0.0702,34,1
Organic,West,Returning,Conversion,240.14,7419,1797,0.2422,27.91,10,1,4,0.6046,3,1
Email,Central,Dormant,Awareness,455.18,17402,873,0.0502,68.52,0,0,8,0.2355,24,0
Instagram,Central,Dormant,Awareness,257.16,13816,1209,0.0875,18.17,0,1,3,0.0652,30,0
Instagram,West,New,Awareness,305.25,12844,1440,0.1121,37.28,0,1,6,0.1852,28,1
Email,South,High Value,Retargeting,390.46,7487,892,0.1192,46.5,15,0,3,0.2026,24,0
Instagram,Central,New,Awareness,264.01,5088,411,0.0807,74.04,15,1,9,0.3157,21,0
Organic,East,Returning,Awareness,374.67,6874,235,0.0342,83.91,15,1,6,0.3807,18,0
Email,East,High Value,Conversion,316.93,11806,831,0.0704,80.06,10,2,6,0.4113,17,1
Organic,West,High Value,Awareness,487.4,15907,2320,0.1458,54.93,0,4,6,0.2504,106,0
Organic,West,New,Awareness,487.96,16061,700,0.0436,10.0,10,3,5,0.1844,74,0
Instagram,Central,New,Conversion,264.62,14838,1869,0.1259,65.82,0,0,8,0.134,37,0
Email,East,High Value,Conversion,394.44,8681,871,0.1003,87.41,25,2,5,0.3336,26,0
Google Ads,West,Returning,Retargeting,520.87,12110,867,0.0716,82.68,0,1,3,0.2569,49,0
Email,West,Returning,Seasonal,207.88,10554,1004,0.0952,67.26,10,0,4,0.2816,66,0
Instagram,South,New,Awareness,316.02,11095,1019,0.0919,34.21,0,0,2,0.1674,4,0
SMS,South,New,Seasonal,386.74,21167,2793,0.132,47.49,20,0,2,0.5805,14,1
SMS,West,Dormant,Seasonal,203.56,4071,183,0.045,96.68,0,5,3,0.3801,79,0
Organic,North,New,Retargeting,279.35,10944,1144,0.1045,29.67,25,3,8,0.2084,41,1
Instagram,South,Returning,Retargeting,676.83,17453,1432,0.0821,35.04,0,1,5,0.4665,20,0
Referral,West,Dormant,Retargeting,259.73,5403,631,0.1167,76.85,20,0,7,0.2746,94,0
Referral,Central,New,Retargeting,273.21,9103,675,0.0742,49.38,15,2,2,0.3699,17,1
Instagram,East,High Value,Retargeting,150.34,9619,918,0.0955,34.36,5,0,4,0.1289,1,0
Referral,South,New,Awareness,429.69,10995,783,0.0712,88.56,5,1,6,0.2667,13,0
Email,East,Dormant,Seasonal,191.65,4818,965,0.2002,67.22,10,0,6,0.7995,100,1
Instagram,West,High Value,Conversion,319.18,14679,1605,0.1094,50.36,20,3,4,0.1621,17,0
Google Ads,East,Dormant,Retargeting,226.02,14998,1671,0.1114,35.08,25,1,3,0.1151,33,1
Email,North,New,Conversion,374.35,14288,2054,0.1437,98.95,0,2,5,0.3035,18,0
Email,East,Returning,Awareness,68.79,8083,508,0.0629,57.51,10,1,2,0.2458,53,0
Organic,East,High Value,Conversion,351.32,12389,853,0.0689,85.95,5,0,7,0.1346,42,1
SMS,West,New,Conversion,391.54,7953,780,0.098,75.87,0,1,6,0.2184,7,0
Google Ads,Central,New,Conversion,282.7,10503,2157,0.2054,47.58,15,1,5,0.1347,5,1
Organic,Central,New,Conversion,290.93,21691,2497,0.1151,47.74,10,4,10,0.1724,40,1
SMS,West,Dormant,Awareness,266.67,12431,988,0.0795,86.93,5,0,3,0.113,3,0
Email,South,High Value,Conversion,317.26,6656,422,0.0634,87.25,25,1,5,0.3871,103,1
Google Ads,East,Returning,Conversion,623.99,12812,868,0.0678,20.46,20,0,6,0.2357,45,0
Instagram,North,High Value,Seasonal,494.16,5917,332,0.056,69.0,20,0,4,0.0862,240,0
Email,Central,Returning,Awareness,317.12,6604,710,0.1074,55.58,0,1,7,0.4712,98,0
Organic,Central,Returning,Conversion,279.39,7315,662,0.0905,37.33,25,1,4,0.2335,51,0
Google Ads,Central,Returning,Conversion,473.62,10001,322,0.0322,63.23,15,1,5,0.1122,41,0
Google Ads,South,Returning,Conversion,363.55,16216,3575,0.2205,31.01,10,3,6,0.4049,139,0
Email,South,New,Conversion,201.12,14603,1667,0.1142,48.67,0,2,3,0.6345,36,1
Instagram,Central,Dormant,Retargeting,300.51,14353,2906,0.2025,42.03,25,1,3,0.2628,74,1
Organic,East,High Value,Seasonal,594.38,7055,385,0.0546,48.0,15,0,4,0.3777,26,0
Email,West,New,Conversion,422.13,9564,1348,0.1409,56.57,20,0,8,0.3275,44,0
Instagram,East,Returning,Retargeting,280.81,13224,244,0.0184,37.69,15,0,8,0.2799,65,0
Instagram,East,New,Awareness,159.01,9173,1302,0.1419,89.46,20,0,6,0.307,63,1
Google Ads,West,Dormant,Conversion,373.51,10747,1339,0.1246,67.87,20,4,6,0.1445,61,1
Google Ads,Central,Dormant,Conversion,339.84,13986,898,0.0642,93.89,25,0,4,0.6527,24,1
Google Ads,South,Dormant,Awareness,312.66,10431,575,0.0551,54.8,5,1,2,0.0999,40,0
Email,Central,New,Retargeting,475.97,13017,1188,0.0913,47.02,5,3,5,0.1575,39,1
Instagram,South,New,Retargeting,424.45,19167,2391,0.1248,93.17,20,1,4,0.3155,13,1
Organic,East,New,Retargeting,161.73,11227,649,0.0578,46.44,10,0,3,0.2382,145,0
Google Ads,Central,New,Conversion,340.7,17307,306,0.0177,54.43,15,0,3,0.5479,5,0
Referral,Central,New,Retargeting,181.89,14517,842,0.058,72.4,20,0,5,0.1467,35,0
Referral,Central,New,Conversion,268.75,5397,442,0.0819,33.25,15,2,5,0.164,78,1
Organic,South,Dormant,Awareness,175.26,7040,648,0.0921,72.23,20,2,8,0.1212,3,0
Email,Central,New,Awareness,178.37,8249,997,0.1209,69.67,10,2,4,0.448,8,0
